image,Book Name,Author,Rating,Customers_Rated,Price
"https://images-eu.ssl-images-amazon.com/images/I/51Kh5lN0h3L._AC_UL200_SR200,200_.jpg","Lenovo 300 Wired Plug & Play USB Mouse, High Resolution 1600 DPI Optical Sensor, 3-Button Design with clickable Scroll…",0,4.4 out of 5 stars,"13,379",₹ 289.00
"https://images-eu.ssl-images-amazon.com/images/I/71t8jN1ewjL._AC_UL200_SR200,200_.jpg","Ambrane 10000mAh Li-Polymer Powerbank with Fast Charging, Rubberized Finish & Compact Size (PP-11, Black)",0,3.9 out of 5 stars,"7,342",₹ 499.00
"https://images-eu.ssl-images-amazon.com/images/I/51Bi92jvyDL._AC_UL200_SR200,200_.jpg","pTron Tangent Lite Bluetooth 5.0 Wireless Headphones with Hi-Fi Stereo Sound, 6Hrs Playtime, Lightweight Ergonomic…",0,3.5 out of 5 stars,"28,796",₹ 599.00
"https://images-eu.ssl-images-amazon.com/images/I/61d-phh4GfL._AC_UL200_SR200,200_.jpg","Samsung Galaxy M31s (Mirage Blue, 6GB RAM, 128GB Storage)",0,4.3 out of 5 stars,"63,979","₹ 16,999.00"
"https://images-eu.ssl-images-amazon.com/images/I/617bCX7Y-aL._AC_UL200_SR200,200_.jpg",JBL C50HI by Harman in-Ear Headphones with Mic (Blue),0,3.8 out of 5 stars,"44,108",₹ 499.00
"https://images-eu.ssl-images-amazon.com/images/I/711dC%2BrtdpL._AC_UL200_SR200,200_.jpg",HP 680 Tri-color Original Ink Advantage Cartridge,0,4.2 out of 5 stars,"11,191",₹ 852.00
"https://images-eu.ssl-images-amazon.com/images/I/51de3t4CDhL._AC_UL200_SR200,200_.jpg","STRIFF Multi Angle Mobile Stand. Phone Holder for iPhone, Android, Samsung, OnePlus, Xiaomi. Portable,Foldable Cell…",0,4.4 out of 5 stars,"9,693",₹ 179.00
"https://images-eu.ssl-images-amazon.com/images/I/61l%2B14s5QVL._AC_UL200_SR200,200_.jpg",boAt Bassheads 100 in Ear Wired Earphones with Mic(Furious Red),0,4.1 out of 5 stars,"1,57,915",₹ 379.00
"https://images-eu.ssl-images-amazon.com/images/I/719sf-DtkvL._AC_UL200_SR200,200_.jpg",boAt Bassheads 100 in Ear Wired Earphones with Mic(Taffy Pink),0,4.1 out of 5 stars,"1,57,915",₹ 379.00
"https://images-eu.ssl-images-amazon.com/images/I/61ALO0BDcJL._AC_UL200_SR200,200_.jpg","ELV Desktop Cell Phone Stand Tablet Stand, Aluminum Stand Holder for Mobile Phone (All Size) and Tablet (Up to 10.1 inch…",0,4.3 out of 5 stars,"29,707",₹ 179.00
"https://images-eu.ssl-images-amazon.com/images/I/61pHXsALAOL._AC_UL200_SR200,200_.jpg",SanDisk Cruzer Blade 32GB USB Flash Drive,0,4.3 out of 5 stars,"1,14,240",₹ 449.00
"https://images-eu.ssl-images-amazon.com/images/I/61FJVQyAIQL._AC_UL200_SR200,200_.jpg",Xtore® Universal Mobile Phone Holder & Tablet Holder with 360° Rotation,0,4.2 out of 5 stars,"7,688",₹ 599.00
"https://images-eu.ssl-images-amazon.com/images/I/61v6IaSVylL._AC_UL200_SR200,200_.jpg",boAt Bassheads 162 in Ear Wired Earphones with Mic(Active Black),0,4.1 out of 5 stars,"14,491",₹ 399.00
